shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SHAPE_a7b1f4a0-35b8-519f-8b04-bbc1ca1b9a2a,-16.49207,-68.14478,1
SHAPE_a7b1f4a0-35b8-519f-8b04-bbc1ca1b9a2a,-16.49036,-68.13685,2
SHAPE_a7b1f4a0-35b8-519f-8b04-bbc1ca1b9a2a,-16.48649,-68.13129,3
SHAPE_a7b1f4a0-35b8-519f-8b04-bbc1ca1b9a2a,-16.48469,-68.12194,4
SHAPE_42d20d79-f51b-5bef-9259-e7a584ccd226,-16.48469,-68.12194,1
SHAPE_42d20d79-f51b-5bef-9259-e7a584ccd226,-16.48649,-68.13129,2
SHAPE_42d20d79-f51b-5bef-9259-e7a584ccd226,-16.49036,-68.13685,3
SHAPE_42d20d79-f51b-5bef-9259-e7a584ccd226,-16.49207,-68.14478,4
SHAPE_3c0f2743-04b7-50ff-b7f5-57105af27511,-16.49805,-68.16471,1
SHAPE_3c0f2743-04b7-50ff-b7f5-57105af27511,-16.51225,-68.15366,2
SHAPE_3c0f2743-04b7-50ff-b7f5-57105af27511,-16.51822,-68.14989,3
SHAPE_3d9caec4-086f-54a4-8b8b-a942a196e8d3,-16.51822,-68.14989,1
SHAPE_3d9caec4-086f-54a4-8b8b-a942a196e8d3,-16.51225,-68.15366,2
SHAPE_3d9caec4-086f-54a4-8b8b-a942a196e8d3,-16.49805,-68.16471,3
SHAPE_aa402fbb-4453-542e-9b07-ccdae84c0745,-16.49207,-68.14478,1
SHAPE_aa402fbb-4453-542e-9b07-ccdae84c0745,-16.49784,-68.15292,2
SHAPE_aa402fbb-4453-542e-9b07-ccdae84c0745,-16.49805,-68.16471,3
SHAPE_68fb3231-1c7c-5dfc-8d17-3ce42a8efd05,-16.49805,-68.16471,1
SHAPE_68fb3231-1c7c-5dfc-8d17-3ce42a8efd05,-16.49784,-68.15292,2
SHAPE_68fb3231-1c7c-5dfc-8d17-3ce42a8efd05,-16.49207,-68.14478,3
SHAPE_3dbc3688-2ac2-5750-ac04-689d79288df9,-16.51871,-68.11611,1
SHAPE_3dbc3688-2ac2-5750-ac04-689d79288df9,-16.52137,-68.11031,2
SHAPE_3dbc3688-2ac2-5750-ac04-689d79288df9,-16.52684,-68.10072,3
SHAPE_3dbc3688-2ac2-5750-ac04-689d79288df9,-16.5381,-68.0873,4
SHAPE_337764d3-68ca-5e7c-9c5a-5790bd31de64,-16.5381,-68.0873,1
SHAPE_337764d3-68ca-5e7c-9c5a-5790bd31de64,-16.52684,-68.10072,2
SHAPE_337764d3-68ca-5e7c-9c5a-5790bd31de64,-16.52137,-68.11031,3
SHAPE_337764d3-68ca-5e7c-9c5a-5790bd31de64,-16.51871,-68.11611,4
