trip_id,start_time,end_time,headway_secs,exact_times
TRIP_2ec8342e-c96f-5948-887f-a44d5c39f6d9_3b146b66-c222-409c-9aa0-dc3de24efbac,07:00:00,21:00:00,40,0
TRIP_421df8e1-b216-5717-a2da-5ae4d5ab9b22_121f37a6-3540-4dba-8546-22134518361b,06:30:00,22:30:00,40,0
TRIP_421df8e1-b216-5717-a2da-5ae4d5ab9b22_056401b9-ec70-469c-a861-5d371e633d74,06:30:00,22:30:00,40,0
TRIP_421df8e1-b216-5717-a2da-5ae4d5ab9b22_87f51157-a061-4a1e-8269-de9de7f32613,06:30:00,22:30:00,40,0
TRIP_421df8e1-b216-5717-a2da-5ae4d5ab9b22_67f77d1c-e30c-47ac-b3ea-09be996b23e8,06:30:00,22:30:00,40,0
TRIP_421df8e1-b216-5717-a2da-5ae4d5ab9b22_f6c8bdcb-66c2-40db-9374-0d915ac237f7,06:30:00,22:30:00,40,0
TRIP_421df8e1-b216-5717-a2da-5ae4d5ab9b22_7209e5c9-adfd-4307-b05c-732248c7ff39,06:30:00,22:30:00,40,0
TRIP_421df8e1-b216-5717-a2da-5ae4d5ab9b22_7c662561-66f2-4d88-bc67-87935e414cd3,07:00:00,21:00:00,40,0
TRIP_8547c54e-f139-5107-a850-9f241c6902e6_4158203c-ca41-4dd0-9f6d-c555860a77ca,06:30:00,22:30:00,40,0
TRIP_8547c54e-f139-5107-a850-9f241c6902e6_8ec777c9-2c02-4a40-92c5-f26926d5a61f,06:30:00,22:30:00,40,0
TRIP_8547c54e-f139-5107-a850-9f241c6902e6_d9a23143-ae7c-4cff-bd2a-acaf75865e8f,06:30:00,22:30:00,40,0
TRIP_8547c54e-f139-5107-a850-9f241c6902e6_c83536b5-66af-4595-9ca4-a9742772ac24,06:30:00,22:30:00,40,0
TRIP_8547c54e-f139-5107-a850-9f241c6902e6_71861c8e-b81c-4498-8be8-b258663d4365,06:30:00,22:30:00,40,0
TRIP_8547c54e-f139-5107-a850-9f241c6902e6_e656f493-705d-4bfc-b17e-63151a34a4d6,06:30:00,22:30:00,40,0
TRIP_8547c54e-f139-5107-a850-9f241c6902e6_1acce75d-4e7e-4b2e-8092-084695cb735b,07:00:00,21:00:00,40,0
TRIP_a7b1f4a0-35b8-519f-8b04-bbc1ca1b9a2a_983de34a-2a4e-458f-b423-5ada5ece058a,06:30:00,22:30:00,40,0
TRIP_a7b1f4a0-35b8-519f-8b04-bbc1ca1b9a2a_df703905-e265-4960-a0db-7af798828826,06:30:00,22:30:00,40,0
TRIP_a7b1f4a0-35b8-519f-8b04-bbc1ca1b9a2a_0ad90334-f8f9-4735-ab53-4122e0b18636,06:30:00,22:30:00,40,0
TRIP_a7b1f4a0-35b8-519f-8b04-bbc1ca1b9a2a_06dcfe0b-bc55-474c-a387-fc3f33f57f9b,06:30:00,22:30:00,40,0
TRIP_a7b1f4a0-35b8-519f-8b04-bbc1ca1b9a2a_0c22b3dc-7846-45ef-a1d6-175ef8b839a9,06:30:00,22:30:00,40,0
TRIP_a7b1f4a0-35b8-519f-8b04-bbc1ca1b9a2a_56b8445d-ee5f-40f0-a0b6-5d9acdbdc0a0,06:30:00,22:30:00,40,0
TRIP_a7b1f4a0-35b8-519f-8b04-bbc1ca1b9a2a_021e70a2-f16e-40ca-87bf-9211ee324211,07:00:00,21:00:00,40,0
TRIP_42d20d79-f51b-5bef-9259-e7a584ccd226_df301687-dc46-47fd-bab8-00948bf97c43,06:30:00,22:30:00,40,0
TRIP_42d20d79-f51b-5bef-9259-e7a584ccd226_4d986f53-9188-480a-a85d-b2a64f58a676,06:30:00,22:30:00,40,0
TRIP_42d20d79-f51b-5bef-9259-e7a584ccd226_bf41b353-5334-4932-9639-f2fc69a38c2e,06:30:00,22:30:00,40,0
TRIP_42d20d79-f51b-5bef-9259-e7a584ccd226_653bad8c-a491-4cba-bfa6-1300769d9e14,06:30:00,22:30:00,40,0
TRIP_42d20d79-f51b-5bef-9259-e7a584ccd226_c568f479-71e1-4f0c-a324-48395003c766,06:30:00,22:30:00,40,0
TRIP_42d20d79-f51b-5bef-9259-e7a584ccd226_69dac731-7fd8-4c1a-a29e-fc2abc904185,06:30:00,22:30:00,40,0
TRIP_42d20d79-f51b-5bef-9259-e7a584ccd226_5f2efe30-5aae-4bc0-9999-bc79c72ff1c4,07:00:00,21:00:00,40,0
TRIP_3c0f2743-04b7-50ff-b7f5-57105af27511_329fd2b9-e262-4db3-8a9b-e1239fb6d1c0,06:30:00,22:30:00,40,0
TRIP_3c0f2743-04b7-50ff-b7f5-57105af27511_9af28b56-a9bc-46df-874d-a3052cd93871,06:30:00,22:30:00,40,0
TRIP_3c0f2743-04b7-50ff-b7f5-57105af27511_92e8d2be-5626-4ca3-9356-63a86026f072,06:30:00,22:30:00,40,0
TRIP_3c0f2743-04b7-50ff-b7f5-57105af27511_cfa50899-00c8-42a8-8d0e-5eef9f7a774c,06:30:00,22:30:00,40,0
TRIP_3c0f2743-04b7-50ff-b7f5-57105af27511_d9a3331f-b78e-45ee-a31c-323947d954b9,06:30:00,22:30:00,40,0
TRIP_3c0f2743-04b7-50ff-b7f5-57105af27511_4f7724b9-6d34-432d-b250-5de6a4af8c67,06:30:00,22:30:00,40,0
TRIP_3c0f2743-04b7-50ff-b7f5-57105af27511_bcd92137-3f37-4b9a-ab03-424e30f90a28,07:00:00,21:00:00,40,0
TRIP_3d9caec4-086f-54a4-8b8b-a942a196e8d3_72a8b436-8435-43e4-b549-9e612b7689d2,06:30:00,22:30:00,40,0
TRIP_3d9caec4-086f-54a4-8b8b-a942a196e8d3_77020a95-4b49-453d-8587-44e101bd4a80,06:30:00,22:30:00,40,0
TRIP_3d9caec4-086f-54a4-8b8b-a942a196e8d3_6a9bd7cb-325a-4115-873f-6efb7a15a998,06:30:00,22:30:00,40,0
TRIP_3d9caec4-086f-54a4-8b8b-a942a196e8d3_c29a452e-b66a-4b64-acb2-866f6c5c517a,06:30:00,22:30:00,40,0
TRIP_3d9caec4-086f-54a4-8b8b-a942a196e8d3_19f85fbb-de25-42b7-870a-6de505d48cd7,06:30:00,22:30:00,40,0
TRIP_3d9caec4-086f-54a4-8b8b-a942a196e8d3_6c80b128-6025-4d5f-a660-f74c13db989a,06:30:00,22:30:00,40,0
TRIP_3d9caec4-086f-54a4-8b8b-a942a196e8d3_da6f7d87-bc69-48b2-ae1e-b75bc2d03efb,07:00:00,21:00:00,40,0
TRIP_aa402fbb-4453-542e-9b07-ccdae84c0745_421cb6f7-361e-4633-99ef-f1b9deb0765c,06:30:00,22:30:00,40,0
TRIP_aa402fbb-4453-542e-9b07-ccdae84c0745_7dd8fcf8-1829-4266-b73d-d19e9cc21069,06:30:00,22:30:00,40,0
TRIP_aa402fbb-4453-542e-9b07-ccdae84c0745_d1adfb70-8981-4c0a-8e7f-531c72c06642,06:30:00,22:30:00,40,0
